"id","number","perfs_id","sets_id"
celoe_01_s2004-2005-cd_povodyr,01,s2004-2005-cd_povodyr,celoe
celoe_02_s2004-2005-cd_etoneja,02,s2004-2005-cd_etoneja,celoe
celoe_03_s2004-2005-cd_switzerl,03,s2004-2005-cd_switzerl,celoe
celoe_04_s2004-2005-cd_neznajuk,04,s2004-2005-cd_neznajuk,celoe
celoe_05_s1999-2000-s_cirkachk,05,s1999-2000-s_cirkachk,celoe
celoe_06_s2004-2005-cd_nadpis,06,s2004-2005-cd_nadpis,celoe
celoe_07_s2004-2005-cd_kordebal,07,s2004-2005-cd_kordebal,celoe
celoe_08_s2004-2005-cd_eschezak,08,s2004-2005-cd_eschezak,celoe
celoe_09_s2004-2005-cd_kinemat2,09,s2004-2005-cd_kinemat2,celoe
celoe_10_s2004-2005-cd_volk,10,s2004-2005-cd_volk,celoe
celoe_11_s2004-2005-cd_celoelet,11,s2004-2005-cd_celoelet,celoe
celoe_12_s2004-2005-cd_inicialy,12,s2004-2005-cd_inicialy,celoe
celoe_13_s2004-2005-cd_kollazh,13,s2004-2005-cd_kollazh,celoe
celoe_14_s2004-2005-cd_interme3,14,s2004-2005-cd_interme3,celoe
celoe_15_s2004-2005-cd_konecned,15,s2004-2005-cd_konecned,celoe
celoe_16_s2004-2005-cd_chepuxa,16,s2004-2005-cd_chepuxa,celoe
celoe_17_s2004-2005-cd_kolesa,17,s2004-2005-cd_kolesa,celoe
celoe_18_s2004-2005-cd_unasopja,18,s2004-2005-cd_unasopja,celoe
celoe_19_s2004-2005-cd_proscha1,19,s2004-2005-cd_proscha1,celoe
