id,number,perfs_id,sets_id"
s1994-s_"Моё королевство 1"
s1994-s_"Моё королевство 2"
s1994-s_"Пустые бочки..."
s1995-s_"Колыбельная безумца"
s1995-s_"Когда я был помоложе..."
s1995-s_"Затем же..."
s1995-s_"Обращение к герою"
s1995-s_"Итак, друзья..."
s1995-s_"Вот — поднимается ветер..."
s1993-s_"Издалека вернувшись..."
s1993-f_"Эти глаза напротив"
s1995-s_"Ничему не поверю..."
s1992_"Ещё младенцем..."
s1995-s_"Пускай"
s1994-s_"Посещение"
s1994-s_"Мои ракеты"
s1993_"Это должно случиться..."
s1995-s_"Моё королевство 3"
s1993-s_"Петербург"
s1993-s_"Farewell"
s1993-s_"Панорама"
s1993-s_"Песня безумца"
s1994-s_"К сороконожке"
s1993-s_"Ей двадцать восемь лет..."
s1993-s_"Пешком с востока..."
