"id","number","perfs_id","sets_id"
izbran1_01_s1999-2000-s_korablik,01,s1999-2000-s_korablik,izbran1
izbran1_02_s1999-2000-s_trojka,02,s1999-2000-s_trojka,izbran1
izbran1_03_s1999-2000-s_proscha2,03,s1999-2000-s_proscha2,izbran1
izbran1_04_s1999-2000-s_alliluja,04,s1999-2000-s_alliluja,izbran1
izbran1_05_s1999-2000-s_podzname,05,s1999-2000-s_podzname,izbran1
izbran1_06_s1999-2000-s_trubach,06,s1999-2000-s_trubach,izbran1
izbran1_07_s1999-2000-s_aerodrom,07,s1999-2000-s_aerodrom,izbran1
izbran1_08_s1999-2000-s_shkolat1,08,s1999-2000-s_shkolat1,izbran1
izbran1_09_s1999-2000-s_izdaleka,09,s1999-2000-s_izdaleka,izbran1
izbran1_10_s1999-2000-s_zaklinan,10,s1999-2000-s_zaklinan,izbran1
izbran1_11_s1999-2000-s_rozhdest,11,s1999-2000-s_rozhdest,izbran1
izbran1_12_s1999-2000-s_ochnulsj,12,s1999-2000-s_ochnulsj,izbran1
izbran1_13_s1999-2000-s_kadril,13,s1999-2000-s_kadril,izbran1
izbran1_14_s1999-2000-s_marshkro,14,s1999-2000-s_marshkro,izbran1
izbran1_15_s1999-2000-s_baltijsk,15,s1999-2000-s_baltijsk,izbran1
izbran1_16_s1999-2000-s_ksorokon,16,s1999-2000-s_ksorokon,izbran1
izbran1_17_s1999-2000-s_theraven,17,s1999-2000-s_theraven,izbran1
izbran1_18_s1999-2000-s_korchma,18,s1999-2000-s_korchma,izbran1
izbran1_19_s1999-2000-s_diktant,19,s1999-2000-s_diktant,izbran1
izbran1_20_s1999-2000-s_avstrali,20,s1999-2000-s_avstrali,izbran1
izbran1_21_s1999-2000-s_cirkachk,21,s1999-2000-s_cirkachk,izbran1
