1  2      3         4         5          6        7                   8              9                10               11                   12       13    14
id,number,events_id,works_id,is_premiere,with_mls,plays_mls_keyboards,mls_instrument,sings_with_minus,sings_incomplete,is_first_after_break,is_poem,sings_mls_only,note
L2023-11-25_volk,21,L2023-11-25,volk,false,false,false,,false,false,false,false,
L2023-11-25_totosego,22,L2023-11-25,totosego,false,false,false,,false,false,false,false,
L2023-11-25_pamjativ,23,L2023-11-25,pamjativ,false,false,false,,false,false,false,false,
L2023-11-25_shum,24,L2023-11-25,shum,false,false,false,,false,false,false,false,
L2023-11-25_udachny,25,L2023-11-25,udachny,false,false,false,,false,false,false,false,
L2023-11-25_sharmans,26,L2023-11-25,sharmans,false,false,false,,false,false,false,false,
L2023-11-25_chepuxa,27,L2023-11-25,chepuxa,false,false,false,,false,false,false,false,
L2023-11-25_nerazmen,28,L2023-11-25,nerazmen,false,false,false,,false,false,false,false,
L2023-11-25_pesenkao,29,L2023-11-25,pesenkao,false,false,false,,false,false,false,false,
L2023-11-09_1992,01,L2023-11-09,1992,false,false,false,,false,false,false,false,
L2023-11-09_podzname,02,L2023-11-09,podzname,false,false,false,,false,false,false,false,
L2023-11-09_avtoparo,03,L2023-11-09,avtoparo,false,false,false,,false,false,false,false,
L2023-11-09_krasnye,04,L2023-11-09,krasnye,false,false,false,,false,false,false,false,
L2023-11-09_propadu,05,L2023-11-09,propadu,false,false,false,,false,false,false,false,
L2023-11-09_chteniem,06,L2023-11-09,chteniem,false,false,false,,false,false,false,false,
L2023-11-09_gdetytep,07,L2023-11-09,gdetytep,false,false,false,,false,false,false,false,
L2023-11-09_odnazhdy,08,L2023-11-09,odnazhdy,false,false,false,,false,false,false,false,
L2023-11-09_duet,09,L2023-11-09,duet,false,false,false,,false,false,false,false,
L2023-11-09_kuspehuv,10,L2023-11-09,kuspehuv,false,false,false,,false,false,false,false,
L2023-11-09_volhonka,11,L2023-11-09,volhonka,false,false,false,,false,false,false,false,
L2023-11-09_proschanie,12,L2023-11-09,proschanie,false,false,false,,false,false,false,false,
L2023-11-09_dopoezda,13,L2023-11-09,dopoezda,false,false,false,,false,false,false,false,
L2023-11-09_japodari,14,L2023-11-09,japodari,false,false,false,,false,false,false,false,
L2023-11-09_baltijsk,15,L2023-11-09,baltijsk,false,false,false,,false,false,false,false,
L2023-11-09_romans2,16,L2023-11-09,romans2,false,false,false,,false,false,false,false,
L2023-11-09_shum,17,L2023-11-09,shum,false,false,false,,false,false,false,false,
L2023-11-09_ryba,18,L2023-11-09,ryba,false,false,false,,false,false,false,false,
L2023-11-09_suhumi,19,L2023-11-09,suhumi,false,false,false,,false,false,false,false,
L2023-11-09_volk,20,L2023-11-09,volk,false,false,false,,false,false,false,false,
L2023-11-09_pamjativ,21,L2023-11-09,pamjativ,false,false,false,,false,false,false,false,
L2023-11-09_stixiopr,22,L2023-11-09,stixiopr,false,false,false,,false,false,false,false,
L2023-11-09_totosego,23,L2023-11-09,totosego,false,false,false,,false,false,false,false,
