id,number,events_id,works_id,is_premiere,with_mls,plays_mls_keyboards,mls_instrument,sings_with_minus,sings_incomplete,is_first_after_break,is_poem,sings_mls_only,note
L1988-04-12_vosxodja,16,L1988-04-12,vosxodja,false,false,false,,false,false,false,false,
L1988-04-12_popravte,17,L1988-04-12,popravte,false,false,false,,false,false,false,false,
L1988-04-12_chastush,18,L1988-04-12,chastush,false,false,false,,false,false,false,false,
L1988-04-12_korablik,19,L1988-04-12,korablik,false,true,false,,false,false,true,false,
L1988-04-12_kibitka,20,L1988-04-12,kibitka,false,true,false,,false,false,false,false,
L1988-04-12_kolybeln,21,L1988-04-12,kolybeln,false,true,false,,false,false,false,false,
L1988-04-12_dusha,22,L1988-04-12,dusha,false,true,false,,false,false,false,false,
L1988-04-12_ljudisux,23,L1988-04-12,ljudisux,false,true,false,,false,false,false,false,
L1988-04-12_bolero1,24,L1988-04-12,bolero1,false,true,false,,false,false,false,false,
L1988-04-12_romans1,25,L1988-04-12,romans1,false,true,false,,false,false,false,false,
L1988-04-12_alliluja,26,L1988-04-12,alliluja,false,true,false,,false,false,false,false,
L1988-04-12_marija,27,L1988-04-12,marija,false,true,false,,false,false,false,false,
L1988-04-12_kovcheg,28,L1988-04-12,kovcheg,false,true,false,,false,false,false,false,
L1988-04-12_adleucon,29,L1988-04-12,adleucon,false,true,false,,false,false,false,false,
L1988-04-12_konivvag,30,L1988-04-12,konivvag,false,true,false,,false,false,false,false,
L1988-04-12_proscha1,31,L1988-04-12,proscha1,false,true,false,,false,false,false,false,
L1988-04-12_fialkovy,32,L1988-04-12,fialkovy,false,true,false,,false,false,false,false,
L1988-04-12_babelman,33,L1988-04-12,babelman,false,true,false,,false,false,false,false,
L1988-04-12_jubilejn,34,L1988-04-12,jubilejn,false,true,false,,false,false,false,false,
L1988-03-18_fevral,01,L1988-03-18,fevral,false,false,false,,false,false,false,false,
L1988-03-18_aprel,02,L1988-03-18,aprel,false,false,false,,false,false,false,false,
L1988-03-18_ojdachto,03,L1988-03-18,ojdachto,false,false,false,,false,false,false,false,
L1988-03-18_unasopja,04,L1988-03-18,unasopja,false,false,false,,false,false,false,false,
L1988-03-18_doroga,05,L1988-03-18,doroga,false,false,false,,false,false,false,false,
L1988-03-18_vostochr,06,L1988-03-18,vostochr,false,false,false,,false,false,false,false,
L1988-03-18_mojarabo,07,L1988-03-18,mojarabo,false,false,false,,false,false,false,false,
L1988-03-18_kolybeln,08,L1988-03-18,kolybeln,false,false,false,,false,false,false,false,
L1988-03-18_teplyj,09,L1988-03-18,teplyj,false,false,false,,false,false,false,false,
L1988-03-18_znamja,10,L1988-03-18,znamja,false,false,false,,false,false,false,false,
L1988-03-18_rybakov,11,L1988-03-18,rybakov,false,false,false,,false,false,false,false,
L1988-03-18_kariatid,12,L1988-03-18,kariatid,false,false,false,,false,false,false,false,
L1988-03-18_kovcheg,13,L1988-03-18,kovcheg,true,false,false,,false,false,false,false,
L1988-03-18_malenkaj,14,L1988-03-18,malenkaj,false,false,false,,false,false,false,false,
L1988-03-18_trojka,15,L1988-03-18,trojka,false,false,false,,false,false,false,false,
L1988-03-18_krym,16,L1988-03-18,krym,false,false,false,,false,false,false,false,
L1988-03-18_mchisnad,17,L1988-03-18,mchisnad,false,false,false,,false,false,false,false,
L1988-03-18_trubach,18,L1988-03-18,trubach,false,false,false,,false,false,false,false,
L1988-03-18_ogerojax,19,L1988-03-18,ogerojax,false,false,false,,false,false,false,false,
L1988-03-18_vishnevo,20,L1988-03-18,vishnevo,false,false,false,,false,false,false,false,
L1988-03-18_ispokojn,21,L1988-03-18,ispokojn,false,false,false,,false,false,false,false,
L1988-03-18_bezhence,22,L1988-03-18,bezhence,false,false,false,,false,false,false,false,
L1988-03-18_kladbisc,23,L1988-03-18,kladbisc,false,false,false,,false,false,false,false,
L1988-03-18_tolpy,24,L1988-03-18,tolpy,false,false,false,,false,false,false,false,
L1988-03-18_konivvag,25,L1988-03-18,konivvag,false,false,false,,false,false,false,false,
L1988-03-18_krym2,26,L1988-03-18,krym2,false,false,false,,false,false,false,false,
L1988-03-18_alliluja,27,L1988-03-18,alliluja,false,false,false,,false,false,false,false,
L1988-03-18_billy,28,L1988-03-18,billy,false,false,false,,false,false,false,false,
L1988-03-18_proschan,29,L1988-03-18,proschan,false,false,false,,false,false,false,false,
L1988-03-18_korablik,30,L1988-03-18,korablik,false,false,false,,false,false,false,false,
