"id","number","perfs_id","sets_id"
"balagan_01_s1996-02_temapoko",1,"s1996-02_temapoko","balagan"
"balagan_02_s1996-02_molitva",2,"s1996-02_molitva","balagan"
"balagan_03_s1996-02_kalejdos",3,"s1996-02_kalejdos","balagan"
"balagan_04_s1996-02_vekaplyv",4,"s1996-02_vekaplyv","balagan"
"balagan_05_s1996-02_muzhajsj",5,"s1996-02_muzhajsj","balagan"
"balagan_06_s1996-02_voslavug",6,"s1996-02_voslavug","balagan"
"balagan_07_s1996-02_etoja",7,"s1996-02_etoja","balagan"
"balagan_08_s1996-02_poshlyj",8,"s1996-02_poshlyj","balagan"
"balagan_09_s1996-02_sezondoz",9,"s1996-02_sezondoz","balagan"
"balagan_10_s1996-02_vozvrasc",10,"s1996-02_vozvrasc","balagan"
"balagan_11_s1996-02_vjuga",11,"s1996-02_vjuga","balagan"
"balagan_12_s1996-02_okean",12,"s1996-02_okean","balagan"
"balagan_13_s1996-02_navsejz1",13,"s1996-02_navsejz1","balagan"
"balagan_14_s1996-02_proschan",14,"s1996-02_proschan","balagan"
"balagan_15_s1996-02_allegord",15,"s1996-02_allegord","balagan"
"balagan_16_s1996-02_svidanie",16,"s1996-02_svidanie","balagan"
"balagan_17_s1996-02_romansma",17,"s1996-02_romansma","balagan"
"balagan_18_s1996-02_ljubov",18,"s1996-02_ljubov","balagan"
"balagan_19_s1996-02_sharmans",19,"s1996-02_sharmans","balagan"
"balagan_20_s1996-02_balagan2",20,"s1996-02_balagan2","balagan"
"balagan_21_s2000_jachashu",21,"s2000_jachashu","balagan"
"balagan_22_s2000_billy",22,"s2000_billy","balagan"
"balagan_23_s2000_deklarac",23,"s2000_deklarac","balagan"
"balagan_24_s2000_zaliv",24,"s2000_zaliv","balagan"
"balagan_25_s2000_1992",25,"s2000_1992","balagan"
"balagan_26_s2000_vbelojmg",26,"s2000_vbelojmg","balagan"
