"id","number","perfs_id","sets_id"
shanson_01_s1985_fevral,01,s1985_fevral,shanson
shanson_02_s1985_chastush,02,s1985_chastush,shanson
shanson_03_s1985_korablik,03,s1985_korablik,shanson
shanson_04_s1985_ljudisux,04,s1985_ljudisux,shanson
shanson_05_s1984_kolybeln,05,s1984_kolybeln,shanson
shanson_06_s1984_rybakov,06,s1984_rybakov,shanson
shanson_07_s1984_kapitan,07,s1984_kapitan,shanson
shanson_08_s1984_babelman,08,s1984_babelman,shanson
shanson_09_s1984_risunok,09,s1984_risunok,shanson
shanson_10_s1984_krym,10,s1984_krym,shanson
shanson_11_s1985_juzhnyj,11,s1985_juzhnyj,shanson
shanson_12_s1985_mchisnad,12,s1985_mchisnad,shanson
shanson_13_s1985_kariatid,13,s1985_kariatid,shanson
shanson_14_s1984_atlantic,14,s1984_atlantic,shanson
shanson_15_s1984_fialkovy,15,s1984_fialkovy,shanson
shanson_16_s1984_ojdachto,16,s1984_ojdachto,shanson
shanson_17_s1986_trojka,17,s1986_trojka,shanson
shanson_18_s1984_opilki,18,s1984_opilki,shanson
shanson_19_s1984_poshlyj,19,s1984_poshlyj,shanson
shanson_20_s1984_stodruze,20,s1984_stodruze,shanson
shanson_21_s1986_shanson,21,s1986_shanson,shanson
