"id","number","perfs_id","sets_id"
celoe_1997_01_s1996-s_povodyr,01,s1996-s_povodyr,celoe_1997
celoe_1997_02_s1996-s_etoneja,02,s1996-s_etoneja,celoe_1997
celoe_1997_03_s1996-s_switzerl,03,s1996-s_switzerl,celoe_1997
celoe_1997_04_s1996-s_neznajuk,04,s1996-s_neznajuk,celoe_1997
celoe_1997_05_s1996-s_cirkachk,05,s1996-s_cirkachk,celoe_1997
celoe_1997_06_s1996-s_nadpis,06,s1996-s_nadpis,celoe_1997
celoe_1997_07_s1996-s_kordebal,07,s1996-s_kordebal,celoe_1997
celoe_1997_08_s1996-s_eschezak,08,s1996-s_eschezak,celoe_1997
celoe_1997_09_s1996-s_kinemat2,09,s1996-s_kinemat2,celoe_1997
celoe_1997_10_s1996-s_volk,10,s1996-s_volk,celoe_1997
celoe_1997_11_s1996-s_celoelet,11,s1996-s_celoelet,celoe_1997
celoe_1997_12_s1996-s_inicialy,12,s1996-s_inicialy,celoe_1997
celoe_1997_13_s1996-s_kollazh,13,s1996-s_kollazh,celoe_1997
celoe_1997_14_s1996-s_interme3,14,s1996-s_interme3,celoe_1997
celoe_1997_15_s1996-s_konecned,15,s1996-s_konecned,celoe_1997
celoe_1997_16_s1996-s_chepuxa,16,s1996-s_chepuxa,celoe_1997
