"id","number","perfs_id","sets_id"
deja_01_s1999-2000-s_ubykagol,01,s1999-2000-s_ubykagol,deja
deja_02_s1999-2000-s_lunnaja,02,s1999-2000-s_lunnaja,deja
deja_03_s1999-2000-s_deja,03,s1999-2000-s_deja,deja
deja_04_s1999-2000-s_nerazmen,04,s1999-2000-s_nerazmen,deja
deja_05_s1999-2000-s_dendensk,05,s1999-2000-s_dendensk,deja
deja_06_s1999-2000-s_poletval,06,s1999-2000-s_poletval,deja
deja_07_s1999-2000-s_slezazol,07,s1999-2000-s_slezazol,deja
deja_08_s1999-2000-s_pamjativ,08,s1999-2000-s_pamjativ,deja
deja_09_s1999-2000-s_gostinic,09,s1999-2000-s_gostinic,deja
deja_10_s1999-2000-s_andante,10,s1999-2000-s_andante,deja
deja_11_s1999-2000-s_allegro,11,s1999-2000-s_allegro,deja
deja_12_s1999-2000-s_skerco,12,s1999-2000-s_skerco,deja
deja_13_s1999-2000-s_propadu,13,s1999-2000-s_propadu,deja
deja_14_s1999-2000-s_posledet,14,s1999-2000-s_posledet,deja
deja_15_s1999-2000-s_nebyvaet,15,s1999-2000-s_nebyvaet,deja
deja_16_s1999-2000-s_epilog,16,s1999-2000-s_epilog,deja
