id,year,date,dw,country,town,state,place,day_evening,with_mls,plays_mls_keyboards,comment
L2002-11-15,2002,2002-11-15,пт,Россия,Москва,,Политехнический музей,,true,false,2 премьеры
L2002-05-12,2002,2002-05-12,вс,Украина,Киев,,Музыкальный театр,,false,false,
L2002-04-21,2002,2002-04-21,вс,Россия,Санкт-Петербург,,КЗ У Финляндского,,false,false,
