"id","number","perfs_id","sets_id"
kovcheg2_01_s1990-b1_pustyjeb,01,s1990-b1_pustyjeb,kovcheg2
kovcheg2_02_s1990-b1_vishnevo,02,s1990-b1_vishnevo,kovcheg2
kovcheg2_03_s1990-b1_trubach,03,s1990-b1_trubach,kovcheg2
kovcheg2_04_s1990-b1_alliluja,04,s1990-b1_alliluja,kovcheg2
kovcheg2_05_s1990-b1_gorestn2,05,s1990-b1_gorestn2,kovcheg2
kovcheg2_06_s1990-b1_sredneg2,06,s1990-b1_sredneg2,kovcheg2
kovcheg2_07_s1990-b1_podzname,07,s1990-b1_podzname,kovcheg2
kovcheg2_08_s1990-b1_romans2,08,s1990-b1_romans2,kovcheg2
kovcheg2_09_s1990-b1_burja,09,s1990-b1_burja,kovcheg2
kovcheg2_10_s1990-b1_otchego1,10,s1990-b1_otchego1,kovcheg2
kovcheg2_11_s1990-b1_otchego2,11,s1990-b1_otchego2,kovcheg2
kovcheg2_12_s1990-b1_netnet,12,s1990-b1_netnet,kovcheg2
kovcheg2_13_s1990-b1_nichemun,13,s1990-b1_nichemun,kovcheg2
kovcheg2_14_s1990-b1_vostoch1,14,s1990-b1_vostoch1,kovcheg2
kovcheg2_15_s1990-b1_votpodni,15,s1990-b1_votpodni,kovcheg2
kovcheg2_16_s1990-b1_japodari,16,s1990-b1_japodari,kovcheg2
kovcheg2_17_s1990-b1_akoektop,17,s1990-b1_akoektop,kovcheg2
kovcheg2_18_s1990-b1_itakdruz,18,s1990-b1_itakdruz,kovcheg2
kovcheg2_19_s1990-b1_kogdajab,19,s1990-b1_kogdajab,kovcheg2
kovcheg2_20_s1990-b1_kupljubi,20,s1990-b1_kupljubi,kovcheg2
kovcheg2_21_s1990-b1_mezhetim,21,s1990-b1_mezhetim,kovcheg2
kovcheg2_22_s1990-b1_moekoro1,22,s1990-b1_moekoro1,kovcheg2
kovcheg2_23_s1990-b1_moekoro2,23,s1990-b1_moekoro2,kovcheg2
kovcheg2_24_s1990-b1_vpoxodny,24,s1990-b1_vpoxodny,kovcheg2
kovcheg2_25_s1990-b1_ispokojn,25,s1990-b1_ispokojn,kovcheg2
kovcheg2_26_s1990-b1_navescha,26,s1990-b1_navescha,kovcheg2
kovcheg2_27_s1990-b1_kolybelb,27,s1990-b1_kolybelb,kovcheg2
kovcheg2_28_s1990-b1_zatemzhe,28,s1990-b1_zatemzhe,kovcheg2
kovcheg2_29_s1990-b1_vechnoes,29,s1990-b1_vechnoes,kovcheg2
kovcheg2_30_s1990-b1_molitva,30,s1990-b1_molitva,kovcheg2
kovcheg2_31_s1990-b1_svidanie,31,s1990-b1_svidanie,kovcheg2
kovcheg2_32_s1990-b1_balagan2,32,s1990-b1_balagan2,kovcheg2
kovcheg2_33_s1990-b1_voslavug,33,s1990-b1_voslavug,kovcheg2
kovcheg2_34_s1990-b1_vekaplyv,34,s1990-b1_vekaplyv,kovcheg2
