"id","number","perfs_id","sets_id""
00_s1996-s_"Сначала я натурально жил..."
00_s1996-s_"Горестный романс 2"
00_s1996-s_"О том и речь..."
00_s1996-s_"Залив"
00_s1996-s_"Романс 2"
00_s1996-s_"Прощальная 3"
00_s1996-s_"Однажды думал-думал..."
00_s1996-s_"Для тех несчастных..."
00_s1996-s_"Буря на море"
00_s1996-s_"Кинематограф 1"
00_s1996-s_"Что такое есть я..."
00_s1996-s_"Суставы"
00_s1996-s_"Декларация"
00_s1996-s_"Воздвиг я памятник"
00_s1996-s_"О ты, не знающий сна..."
00_s1996-s_"1990"
00_s1996-s_"Тоска по родине"
00_s1996-s_"1991"
00_s1996-s_"Сентенциозные куплеты"
00_s1996-s_"Восточная 1"
00_s1996-s_"Восточная 2"
00_s1996-s_"Завещание безумца"
00_s1996-s_"Песенка о молодости"
00_s1996-s_"Восточный романс"
00_s1996-s_"Острова"
00_s1996-s_"Под знаменем Фортуны..."
00_s1996-s_"В белой мгле..."
00_s1996-s_"Навещая знакомый берег..."
