"id","number","perfs_id","sets_id"
esli_01_s2002-cd_serenada,01,s2002-cd_serenada,esli
esli_02_s2002-cd_volhonka,02,s2002-cd_volhonka,esli
esli_03_s2002-cd_kuznechiki,03,s2002-cd_kuznechiki,esli
esli_04_s2002-cd_bereg,04,s2002-cd_bereg,esli
esli_05_s2002-cd_udachny,05,s2002-cd_udachny,esli
esli_06_s2002-cd_zastolnaya,06,s2002-cd_zastolnaya,esli
esli_07_s2002-cd_interme5,07,s2002-cd_interme5,esli
esli_08_s2002-cd_traviata,08,s2002-cd_traviata,esli
esli_09_s2002-cd_esli,09,s2002-cd_esli,esli
esli_10_s2002-cd_suhumi,10,s2002-cd_suhumi,esli
esli_11_s2002-cd_temapoleta,11,s2002-cd_temapoleta,esli
esli_12_s2002-cd_london,12,s2002-cd_london,esli
esli_13_s2002-cd_bystrov,13,s2002-cd_bystrov,esli
esli_14_s2002-cd_nemo,14,s2002-cd_nemo,esli
esli_15_s2002-cd_zhizn,15,s2002-cd_zhizn,esli
