"id","number","perfs_id","sets_id"
peshkom_01_s2003-s_vishnevo,01,s2003-s_vishnevo,peshkom
peshkom_02_s2003-s_shanson,02,s2003-s_shanson,peshkom
peshkom_03_s1999-2000-s_trojka,03,s1999-2000-s_trojka,peshkom
peshkom_04_s1999-2000-s_proscha2,04,s1999-2000-s_proscha2,peshkom
peshkom_05_s1999-2000-s_kadril,05,s1999-2000-s_kadril,peshkom
peshkom_06_s1999-2000-s_zaklinan,06,s1999-2000-s_zaklinan,peshkom
peshkom_07_s1999-2000-s_rozhdest,07,s1999-2000-s_rozhdest,peshkom
peshkom_08_s2003-s_moekoro3,08,s2003-s_moekoro3,peshkom
peshkom_09_s1999-2000-s_baltijsk,09,s1999-2000-s_baltijsk,peshkom
peshkom_10_s2003-s_interme1,10,s2003-s_interme1,peshkom
peshkom_11_s2003-s_peshkom,11,s2003-s_peshkom,peshkom
peshkom_12_s2003-s_pesenkao,12,s2003-s_pesenkao,peshkom
peshkom_13_s2003-s_interme2,13,s2003-s_interme2,peshkom
peshkom_14_s2003-s_1990,14,s2003-s_1990,peshkom
peshkom_15_s1999-2000-s_ochnulsj,15,s1999-2000-s_ochnulsj,peshkom
peshkom_16_s2003-s_1992,16,s2003-s_1992,peshkom
peshkom_17_s2003-s_eccehomo,17,s2003-s_eccehomo,peshkom
peshkom_18_s2003-s_etiglaza,18,s2003-s_etiglaza,peshkom
peshkom_19_s2003-s_prosba,19,s2003-s_prosba,peshkom
peshkom_20_s2003-s_peterbur,20,s2003-s_peterbur,peshkom
peshkom_21_s2003-s_aneta,21,s2003-s_aneta,peshkom
peshkom_22_s2003-s_natura,22,s2003-s_natura,peshkom
peshkom_23_s2003-s_sentenci,23,s2003-s_sentenci,peshkom
peshkom_24_s2003-s_1995,24,s2003-s_1995,peshkom
peshkom_25_s2003-s_jim,25,s2003-s_jim,peshkom
peshkom_26_s2003-s_moiraket,26,s2003-s_moiraket,peshkom
peshkom_27_s2003-s_vostoch2,27,s2003-s_vostoch2,peshkom
