"id","number","perfs_id","sets_id"
aviapochta_01_flot,01,s2023_flot,aviapochta
aviapochta_02_aviapochta,02,s2023_aviapochta,aviapochta
aviapochta_03_okolotok,03,s2023_okolotok,aviapochta
aviapochta_04_kuspehuv,04,s2023_kuspehuv,aviapochta
aviapochta_05_mytischi,05,s2023_mytischi,aviapochta
aviapochta_06_chtonam,06,s2023_chtonam,aviapochta
aviapochta_07_peyzazh,07,s2023_peyzazh,aviapochta
aviapochta_08_kto,08,s2023_kto,aviapochta
aviapochta_09_chumka,09,s2023_chumka,aviapochta
aviapochta_10_chteniem,10,s2023_chteniem,aviapochta
aviapochta_11_solidnys,11,s2023_solidnys,aviapochta
aviapochta_12_spros,12,s2023_spros,aviapochta
aviapochta_13_chtovpred,13,s2023_chtovpred,aviapochta
aviapochta_14_zanaves,14,s2023_zanaves,aviapochta
aviapochta_15_itakvope,15,s2023_itakvope,aviapochta
aviapochta_16_kanonov,16,s2023_kanonov,aviapochta
aviapochta_17_plach,17,s2023_plach,aviapochta
aviapochta_18_shum,18,s2023_shum,aviapochta
aviapochta_19_hrustal,19,s2023_hrustal,aviapochta
