"id","number","perfs_id","sets_id"
izbran2_s2000_kibitka,01,s2000_kibitka,izbran2
izbran2_s2000_vishnevo,02,s2000_vishnevo,izbran2
izbran2_s2000_marija,03,s2000_marija,izbran2
izbran2_s2000_billy,04,s2000_billy,izbran2
izbran2_s2000_dusha,05,s2000_dusha,izbran2
izbran2_s2000_romans2,06,s2000_romans2,izbran2
izbran2_s2000_moekoro2,07,s2000_moekoro2,izbran2
izbran2_s2000_pustyjeb,08,s2000_pustyjeb,izbran2
izbran2_s2000_vosxodja,09,s2000_vosxodja,izbran2
izbran2_s2000_jachashu,10,s2000_jachashu,izbran2
izbran2_s2000_adleucon,11,s2000_adleucon,izbran2
izbran2_s2000_akoektop,12,s2000_akoektop,izbran2
izbran2_s2000_kovcheg,13,s2000_kovcheg,izbran2
izbran2_s2000_zaliv,14,s2000_zaliv,izbran2
izbran2_s2000_kinemat1,15,s2000_kinemat1,izbran2
izbran2_s2000_deklarac,16,s2000_deklarac,izbran2
izbran2_s2000_panorama,17,s2000_panorama,izbran2
izbran2_s2000_prenebre,18,s2000_prenebre,izbran2
izbran2_s2000_vbelojmg,19,s2000_vbelojmg,izbran2
izbran2_s2000_1992,20,s2000_1992,izbran2
izbran2_s2000_eschemla,21,s2000_eschemla,izbran2
izbran2_s2000_brodjagi,22,s2000_brodjagi,izbran2
izbran2_s2000_farmacev,23,s2000_farmacev,izbran2
izbran2_s2000_poslexol,24,s2000_poslexol,izbran2
izbran2_s2000_etodolzh,25,s2000_etodolzh,izbran2
izbran2_s2000_vademecu,26,s2000_vademecu,izbran2
izbran2_s2000_piesa,27,s2000_piesa,izbran2
izbran2_s2000_ryba,28,s2000_ryba,izbran2
izbran2_s2000_nerazmen,29,s2000_nerazmen,izbran2
