"id","number","perfs_id","sets_id"
predpolo_01_s2003-s_kolybeln,01,s2003-s_kolybeln,predpolo
predpolo_02_s1999-2000-s_alliluja,02,s1999-2000-s_alliluja,predpolo
predpolo_03_s1999-2000-s_shkolat1,03,s1999-2000-s_shkolat1,predpolo
predpolo_04_s2003-s_istorija,04,s2003-s_istorija,predpolo
predpolo_05_s1999-2000-s_izdaleka,05,s1999-2000-s_izdaleka,predpolo
predpolo_06_s2003-s_rodljuds,06,s2003-s_rodljuds,predpolo
predpolo_07_s2003-s_menuet,07,s2003-s_menuet,predpolo
predpolo_08_s2003-s_kakojkos,08,s2003-s_kakojkos,predpolo
predpolo_09_s2003-s_fontanka,09,s2003-s_fontanka,predpolo
predpolo_10_s1999-2000-s_korablik,10,s1999-2000-s_korablik,predpolo
predpolo_11_s1999-2000-s_ksorokon,11,s1999-2000-s_ksorokon,predpolo
predpolo_12_s2003-s_predpolo,12,s2003-s_predpolo,predpolo
predpolo_13_s2003-s_serdcean,13,s2003-s_serdcean,predpolo
predpolo_14_s2003-s_burja,14,s2003-s_burja,predpolo
predpolo_15_s1999-2000-s_podzname,15,s1999-2000-s_podzname,predpolo
predpolo_16_s2003-s_descensu,16,s2003-s_descensu,predpolo
predpolo_17_s1999-2000-s_aerodrom,17,s1999-2000-s_aerodrom,predpolo
predpolo_18_s2003-s_ballada,18,s2003-s_ballada,predpolo
predpolo_19_s1999-2000-s_theraven,19,s1999-2000-s_theraven,predpolo
predpolo_20_s1999-2000-s_trubach,20,s1999-2000-s_trubach,predpolo
predpolo_21_s2003-s_rusalka,21,s2003-s_rusalka,predpolo
predpolo_22_s2003-s_posesche,22,s2003-s_posesche,predpolo
predpolo_23_s2003-s_vpoxodny,23,s2003-s_vpoxodny,predpolo
predpolo_24_s2003-s_farmacev,24,s2003-s_farmacev,predpolo
predpolo_25_s2003-s_zavescha,25,s2003-s_zavescha,predpolo
predpolo_26_s2003-s_puskaj,26,s2003-s_puskaj,predpolo
predpolo_27_s2003-s_drugajaz,27,s2003-s_drugajaz,predpolo
