"id","number","perfs_id","sets_id"
once_01_s2001-s_tochtoxo,01,s2001-s_tochtoxo,once
once_02_s2001-s_piesa,02,s2001-s_piesa,once
once_03_s2001-s_duet,03,s2001-s_duet,once
once_04_s2001-s_instrukc,04,s2001-s_instrukc,once
once_05_s2001-s_karavan,05,s2001-s_karavan,once
once_06_s2001-s_podrosto,06,s2001-s_podrosto,once
once_07_s2001-s_paris,07,s2001-s_paris,once
once_08_s2001-s_drugoe,08,s2001-s_drugoe,once
once_09_s1999-2000-s_avstrali,09,s1999-2000-s_avstrali,once
once_10_s2001-s_chinatow,10,s2001-s_chinatow,once
once_11_s2001-s_avtoparo,11,s2001-s_avtoparo,once
once_12_s1999-2000-s_korchma,12,s1999-2000-s_korchma,once
once_13_s2001-s_vrjadli,13,s2001-s_vrjadli,once
once_14_s2001-s_shkolat2,14,s2001-s_shkolat2,once
once_15_s1999-2000-s_marshkro,15,s1999-2000-s_marshkro,once
once_16_s1999-2000-s_diktant,16,s1999-2000-s_diktant,once
once_17_s2001-s_kogoljub,17,s2001-s_kogoljub,once
once_18_s2001-s_vtornik,18,s2001-s_vtornik,once
once_19_s2001-s_once,19,s2001-s_once,once
