"id","number","perfs_id","sets_id"
vozdvig_01_s1996-s_istorija,01,s1996-s_istorija,vozdvig
vozdvig_02_s1996-s_gorestn2,02,s1996-s_gorestn2,vozdvig
vozdvig_03_s1996-s_otomirec,03,s1996-s_otomirec,vozdvig
vozdvig_04_s1996-s_zaliv,04,s1996-s_zaliv,vozdvig
vozdvig_05_s1996-s_romans2,05,s1996-s_romans2,vozdvig
vozdvig_06_s1996-s_proscha3,06,s1996-s_proscha3,vozdvig
vozdvig_07_s1996-s_odnazhdy,07,s1996-s_odnazhdy,vozdvig
vozdvig_08_s1996-s_stixiopr,08,s1996-s_stixiopr,vozdvig
vozdvig_09_s1996-s_burja,09,s1996-s_burja,vozdvig
vozdvig_10_s1996-s_kinemat1,10,s1996-s_kinemat1,vozdvig
vozdvig_11_s1996-s_chtotako,11,s1996-s_chtotako,vozdvig
vozdvig_12_s1996-s_sustavy,12,s1996-s_sustavy,vozdvig
vozdvig_13_s1996-s_deklarac,13,s1996-s_deklarac,vozdvig
vozdvig_14_s1996-s_vozdvig,14,s1996-s_vozdvig,vozdvig
vozdvig_15_s1996-s_otynezna,15,s1996-s_otynezna,vozdvig
vozdvig_16_s1996-s_1990,16,s1996-s_1990,vozdvig
vozdvig_17_s1996-s_ispokojn,17,s1996-s_ispokojn,vozdvig
vozdvig_18_s1996-s_1991,18,s1996-s_1991,vozdvig
vozdvig_19_s1996-s_sentenci,19,s1996-s_sentenci,vozdvig
vozdvig_20_s1996-s_vostoch1,20,s1996-s_vostoch1,vozdvig
vozdvig_21_s1996-s_vostoch2,21,s1996-s_vostoch2,vozdvig
vozdvig_22_s1996-s_zavescha,22,s1996-s_zavescha,vozdvig
vozdvig_23_s1996-s_pesenkao,23,s1996-s_pesenkao,vozdvig
vozdvig_24_s1996-s_vostochr,24,s1996-s_vostochr,vozdvig
vozdvig_25_s1996-s_ostrova,25,s1996-s_ostrova,vozdvig
vozdvig_26_s1996-s_podzname,26,s1996-s_podzname,vozdvig
vozdvig_27_s1996-s_vbelojmg,27,s1996-s_vbelojmg,vozdvig
vozdvig_28_s1996-s_navescha,28,s1996-s_navescha,vozdvig
