"id","number","perfs_id","sets_id"
s1999-2000-s_ubykagol
s1999-2000-s_lunnaja
s1999-2000-s_"Deja"
s1999-2000-s_"Неразменная бабочка (la chansonette)"
s1999-2000-s_dendensk
s1999-2000-s_poletval
s1999-2000-s_slezazol
s1999-2000-s_"Памяти всех (на музыку Нино Рота)"
s1999-2000-s_gostinic
s1999-2000-s_andante
s1999-2000-s_allegro
s1999-2000-s_skerco
s1999-2000-s_propadu
s1999-2000-s_posledet
s1999-2000-s_nebyvaet
s1999-2000-s_epilog
