"id","number","perfs_id","sets_id"
chmuzyka2_01_proschalm,01,s2013-cd_proschalm,chmuzyka2
chmuzyka2_02_2001,02,s2013-cd_2001,chmuzyka2
chmuzyka2_03_sokolnik,03,s2013-cd_sokolnik,chmuzyka2
chmuzyka2_04_mezhdupr,04,s2013-cd_mezhdupr,chmuzyka2
chmuzyka2_05_opyattor,05,s2013-cd_opyattor,chmuzyka2
chmuzyka2_06_zvezdyip,06,s2013-cd_zvezdyip,chmuzyka2
chmuzyka2_07_schastli,07,s2013-cd_schastli,chmuzyka2
chmuzyka2_08_nadvuhk,08,s2013-cd_nadvuhk,chmuzyka2
chmuzyka2_09_rydaytru,09,s2013-cd_rydaytru,chmuzyka2
chmuzyka2_10_cybin,10,s2013-cd_cybin,chmuzyka2
chmuzyka2_11_skazhuse,11,s2013-cd_skazhuse,chmuzyka2
chmuzyka2_12_kogdamen,12,s2013-cd_kogdamen,chmuzyka2
chmuzyka2_13_traviata,13,s2013-cd_traviata,chmuzyka2
chmuzyka2_14_volhonka,14,s2013-cd_volhonka,chmuzyka2
chmuzyka2_15_zastolnaya,15,s2013-cd_zastolnaya,chmuzyka2
chmuzyka2_16_vkoncevr,16,s2013-cd_vkoncevr,chmuzyka2
