"id","number","perfs_id","sets_id"
kovcheg1_01_s1990-a1_vosxodja,01,s1990-a1_vosxodja,kovcheg1
kovcheg1_02_s1990-a1_romans1,02,s1990-a1_romans1,kovcheg1
kovcheg1_03_s1990-a1_adleucon,03,s1990-a1_adleucon,kovcheg1
kovcheg1_04_s1990-a1_bolero1,04,s1990-a1_bolero1,kovcheg1
kovcheg1_05_s1990-a1_dusha,05,s1990-a1_dusha,kovcheg1
kovcheg1_06_s1990-a1_proscha1,06,s1990-a1_proscha1,kovcheg1
kovcheg1_07_s1990-a1_konivvag,07,s1990-a1_konivvag,kovcheg1
kovcheg1_08_s1990-a1_marija,08,s1990-a1_marija,kovcheg1
kovcheg1_09_s1990-a1_proscha2,09,s1990-a1_proscha2,kovcheg1
kovcheg1_10_s1990-a1_kovcheg,10,s1990-a1_kovcheg,kovcheg1
kovcheg1_11_s1990-a1_jubilejn,11,s1990-a1_jubilejn,kovcheg1
kovcheg1_12_s1990-a1_malenkaj,12,s1990-a1_malenkaj,kovcheg1
kovcheg1_13_s1990-a1_kibitka,13,s1990-a1_kibitka,kovcheg1
kovcheg1_14_s1990-a1_balagan1,14,s1990-a1_balagan1,kovcheg1
kovcheg1_15_s1987_sredneg1,15,s1987_sredneg1,kovcheg1
kovcheg1_16_s1987_kogdaby,16,s1987_kogdaby,kovcheg1
kovcheg1_17_s1987_ogerojax,17,s1987_ogerojax,kovcheg1
kovcheg1_18_s1987_znamja,18,s1987_znamja,kovcheg1
kovcheg1_19_s1990-b1_schitime,19,s1990-b1_schitime,kovcheg1
kovcheg1_20_s1990-b1_jaispoln,20,s1990-b1_jaispoln,kovcheg1
kovcheg1_21_s1990-b1_deloshlo,21,s1990-b1_deloshlo,kovcheg1
kovcheg1_22_s1990-b1_doroga,22,s1990-b1_doroga,kovcheg1
kovcheg1_23_s1990-b1_mojarabo,23,s1990-b1_mojarabo,kovcheg1
kovcheg1_24_s1990-b1_maj,24,s1990-b1_maj,kovcheg1
kovcheg1_25_s1990-b1_novyjgen,25,s1990-b1_novyjgen,kovcheg1
kovcheg1_26_s1990-b1_tolpaxud,26,s1990-b1_tolpaxud,kovcheg1
kovcheg1_27_s1990-b1_vechnoot,27,s1990-b1_vechnoot,kovcheg1
kovcheg1_28_s1990-b1_vseravno,28,s1990-b1_vseravno,kovcheg1
kovcheg1_29_s1990-b1_unasopja,29,s1990-b1_unasopja,kovcheg1
