"1990":1990
"1991":1991
"1992":1992
"1995":1995
"2001":2001
"Ad Leuconoen":adleucon
"Chinatown":chinatow
"Déjà":deja
"Descensus ad inferos":descensu
"East coast":eastcoast
"Ecce Homo":eccehomo
"Farewell":farewell
"La complainte":kanonov
"La non-demande":chtovpred
"Natura non facit saltus":natura
"Nemo":nemo
"Once":once
"Paris":paris
"Paris encore":opyatpar
"Supplique":chtonam
"Switzerland":switzerl
"The Raven":theraven
"West coast":westcoast
"А когда, государь, ты умрёшь...":akogdago
"А кое-кто...":akoektop
"Авиапочта":aviapochta
"Австралия":avstrali
"Автопародия":avtoparo
"Аллегорическая баллада о каботажном плавании":snazemno
"Аллегория для голоса с хором":allegord
"Аллегро":allegro
"Аллилуйя":alliluja
"Анданте":andante
"Анета":aneta
"Апрель":aprel
"Аптека":apteka
"Аэродром":aerodrom
"Баб-эль-Мандебский пролив":babelman
"Балаган 1":balagan1
"Балаган 2":balagan2
"Баллада":ballada
"Балтийские волны":baltijsk
"Без названия":udachny
"Без ответа":bezotvet
"Белый берег":bereg
"Билли":billy
"Болеро 1":bolero1
"Болеро 2":bolero2
"Босфор":vpotokah
"Бродяги":brodjagi
"Буря на море":burja
"Бутафор":butafor
"Быстров":bystrov
"В белой мгле...":vbelojmg
"Вадемекум":vademecu
"Варьете":varjete
"Века плывут...":vekaplyv
"Вечно открытый...":vechnoot
"Вечное слово":vechnoes
"Вишнёвое варенье":vishnevo
"Во славу Греции...":voslavug
"Возвращение":vozvrasc
"Воздвиг я памятник":vozdvig
"Волк":volk
"Волхонка":volhonka
"Воробьёвы горы":uchitel
"Восточная песня 1":vostoch1
"Восточная песня 2":vostoch2
"Восточный романс":vostochr
"Восходя дорогой горной...":vosxodja
"Вот - поднимается ветер...":votpodni
"Впрок":totosego
"Времена года":kogdakaz
"Всё равно не по себе":vseravno
"Вторник, второе августа...":vtornik
"Вьюга замолчит...":vjuga
"Гадалка и ворон":vsetvoic
"Горестный романс 1":gorestn
"Горестный романс 2":gorestn2
